Autism: Akkermansia, Peptostreptococcaceae, Alistipes, Clostridium, Rothia, Bacteroides vulgatus, Bilophila, Escherichia coli, Ruminococcus gnavus, Lachnospira, Dorea, Porphyromonas, Klebsiella, Lachnospiraceae, Eubacterium, Eubacterium rectale, Bacteroides fragilis, Actinomyces, Faecalibacterium prausnitzii, Ruminococcaceae
Halitosis: Ruminococcus gnavus, Neisseria, Collinsella, Rothia, Gemella, Alloprevotella, Campylobacter, Atopobium, Actinobacteria, Oscillibacter, Proteobacteria, Lachnospira, Megamonas, Staphylococcus, Aggregatibacter, Pseudomonas, Anaerotruncus, Granulicatella, Eubacterium, Treponema
Rectal Carcinoma: Fusicatenibacter, Sneathia, Firmicutes, Moraxella, Desulfovibrio, Parvimonas, Enterobacter, Megamonas, Mycoplasma, Campylobacter, Aggregatibacter, Oribacterium, Streptococcus pneumoniae, Acinetobacter, Proteobacteria, Campylobacter rectus, Clostridium cluster IV, Atopobium, Escherichia, Actinobacteria
Dandruff: Selenomonas, Streptococcus pneumoniae, Lactobacillus crispatus, Streptococcus anginosus, Peptostreptococcus, Prevotella nanceiensis, Comamonas, Streptococcus sanguinis, Capnocytophaga, Staphylococcus aureus, Psychrobacter, Haemophilus influenzae, Propionibacterium, Staphylococcus epidermidis, Fusobacterium nucleatum, Propionibacterium acnes, Moraxella, Streptococcus salivarius, Streptococcus oralis, Veillonella dispar
Viral Diarrhea: Campylobacter, Firmicutes, Moraxella, Aggregatibacter, Megamonas, Actinobacteria, Atopobium, Propionibacterium, Proteobacteria, Gemella, Coprobacillus, Treponema, Alloprevotella, Clostridiales, Ruminococcus gnavus, Propionibacterium acnes, Oscillibacter, Collinsella, Capnocytophaga, Neisseria
HIV-infected pneumonia: Fusicatenibacter, Sneathia, Ureaplasma, Alphaproteobacteria, Mycoplasma, Corynebacterium pseudodiphtheriticum, Shuttleworthia, Moraxella nonliquefaciens, Moraxella catarrhalis, Prevotella veroralis, Gardnerella, Mitis group streptococci, Streptococcus agalactiae, Syntrophococcus, Bacteroides-Prevotella group, Campylobacter concisus, Streptococcus pneumoniae, Cytomegalovirus, Prevotella bivia, Facklamia
Pervasive developmental disorder NOS: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Staphylococcus aureus, Prevotella nanceiensis, Streptococcus sanguinis, Porphyromonas endodontalis, Psychrobacter, Moraxella, Lactobacillus crispatus, Streptococcus anginosus, Peptostreptococcus, Fusobacterium nucleatum, Gardnerella vaginalis, Streptococcus oralis, Streptococcus parasanguinis, Treponema socranskii, Tanerella forsythia, Comamonas, Capnocytophaga
Macular degeneration: Megamonas, Clostridium, Alistipes, Dorea, Akkermansia, Rothia, Corynebacterium, Collinsella, Porphyromonas, Klebsiella, Roseburia, Fusobacterium, Blautia, Enterobacteriaceae, Parabacteroides, Anaerostipes, Phascolarctobacterium, Neisseria, Enterococcus, Ruminococcus
Spondyloarthritis: Clostridium, Megamonas, Roseburia, Alistipes, Parabacteroides, Dorea, Enterobacteriaceae, Akkermansia, Blautia, Klebsiella, Corynebacterium, Anaerostipes, Ruminococcus, Porphyromonas, Rothia, Collinsella, Enterococcus, Fusobacterium, Phascolarctobacterium, Ruminococcaceae
Systemic lupus erythematosus: Ruminococcus gnavus, Rothia, Lachnospira, Escherichia coli, Alloprevotella, Neisseria, Bilophila, Eubacterium, Collinsella, Oscillibacter, Akkermansia, Bacteroides vulgatus, Porphyromonas, Anaerotruncus, Granulicatella, Haemophilus, Peptostreptococcaceae, Pseudomonas, Staphylococcus, Gemella
Transient Ischemic Attack: Clostridium, Parabacteroides, Alistipes, Roseburia, Enterobacteriaceae, Dorea, Akkermansia, Blautia, Klebsiella, Enterococcus, Anaerostipes, Megamonas, Ruminococcus, Porphyromonas, Corynebacterium, Ruminococcaceae, Rothia, Faecalibacterium, Fusobacterium, Collinsella
Denture Stomatitis: Moraxella, Firmicutes, Propionibacterium, Selenomonas, Campylobacter, Capnocytophaga, Aggregatibacter, Peptostreptococcus, Propionibacterium acnes, Treponema, Atopobium, Actinobacteria, Peptoniphilus, Lactobacillus crispatus, Streptococcus anginosus, Coprobacillus, Streptococcus salivarius, Staphylococcus epidermidis, Alloprevotella, Veillonella dispar
Spinal cord injury: Parabacteroides, Faecalibacterium, Roseburia, Clostridium, Ruminococcus, Enterobacteriaceae, Bifidobacterium, Enterococcus, Bacteroides, Blautia, Alistipes, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Akkermansia, Faecalibacterium prausnitzii, Corynebacterium, Porphyromonas, Fusobacterium
Osmotic diarrhea: Fusicatenibacter, Sneathia, Mycoplasma, Ureaplasma, Streptococcus pneumoniae, Corynebacterium pseudodiphtheriticum, Haemophilus influenzae, Moraxella catarrhalis, Shuttleworthia, Alphaproteobacteria, Gardnerella, Campylobacter concisus, Streptococcus agalactiae, Capnocytophaga ochracea, Treponema socranskii, Prevotella bivia, Gemella haemolysans, Prevotella veroralis, Atopobium vaginae, Prevotella nanceiensis
Reflux esophagitis: Megamonas, Alistipes, Corynebacterium, Clostridium, Collinsella, Akkermansia, Roseburia, Dorea, Porphyromonas, Rothia, Phascolarctobacterium, Blautia, Enterobacteriaceae, Klebsiella, Anaerostipes, Fusobacterium, Parabacteroides, Neisseria, Ruminococcus, Subdoligranulum
Inactive Crohn's Disease: Fusicatenibacter, Sneathia, Streptococcus pneumoniae, Mycoplasma, Haemophilus influenzae, Corynebacterium pseudodiphtheriticum, Ureaplasma, Moraxella catarrhalis, Campylobacter concisus, Shuttleworthia, Gardnerella, Capnocytophaga ochracea, Treponema socranskii, Streptococcus agalactiae, Alphaproteobacteria, Prevotella bivia, Gemella haemolysans, Prevotella nanceiensis, Selenomonas, Tanerella forsythia
Endometrial cancer: Clostridium, Parabacteroides, Roseburia, Enterobacteriaceae, Alistipes, Dorea, Akkermansia, Enterococcus, Blautia, Klebsiella, Anaerostipes, Ruminococcus, Ruminococcaceae, Megamonas, Porphyromonas, Rothia, Corynebacterium, Faecalibacterium, Collinsella, Fusobacterium
Infantile eczema: Clostridium, Parabacteroides, Alistipes, Dorea, Enterobacteriaceae, Enterococcus, Roseburia, Akkermansia, Klebsiella, Blautia, Ruminococcaceae, Faecalibacterium, Anaerostipes, Porphyromonas, Rothia, Ruminococcus, Bifidobacterium, Lachnospiraceae, Corynebacterium, Fusobacterium
Granulomatous mastitis: Moraxella, Selenomonas, Propionibacterium, Firmicutes, Peptostreptococcus, Capnocytophaga, Propionibacterium acnes, Lactobacillus crispatus, Streptococcus anginosus, Treponema, Peptoniphilus, Staphylococcus epidermidis, Campylobacter, Streptococcus pneumoniae, Comamonas, Streptococcus salivarius, Aggregatibacter, Prevotella nanceiensis, Veillonella dispar, Fusobacterium nucleatum
severe skin and soft tissue infection: Fusicatenibacter, Sneathia, Mycoplasma, Streptococcus pneumoniae, Ureaplasma, Haemophilus influenzae, Gardnerella, Shuttleworthia, Capnocytophaga ochracea, Moraxella, Alphaproteobacteria, Corynebacterium pseudodiphtheriticum, Treponema socranskii, Selenomonas, Moraxella catarrhalis, Prevotella nanceiensis, Campylobacter concisus, Porphyromonas endodontalis, Firmicutes, Campylobacter rectus
Coronary Heart Disease: Clostridium, Alistipes, Dorea, Enterobacteriaceae, Akkermansia, Parabacteroides, Roseburia, Klebsiella, Rothia, Anaerostipes, Enterococcus, Porphyromonas, Blautia, Megamonas, Ruminococcaceae, Corynebacterium, Collinsella, Phascolarctobacterium, Fusobacterium, Ruminococcus
Acne: Rothia, Akkermansia, Ruminococcus gnavus, Collinsella, Porphyromonas, Alistipes, Clostridium, Dorea, Lachnospira, Klebsiella, Neisseria, Fusobacterium, Corynebacterium, Eubacterium, Anaerostipes, Oscillibacter, Lachnospiraceae, Haemophilus, Subdoligranulum, Phascolarctobacterium
Vitiligo: Rothia, Peptostreptococcaceae, Bilophila, Akkermansia, Lachnospira, Alistipes, Porphyromonas, Alloprevotella, Escherichia coli, Clostridium, Eubacterium, Ruminococcus gnavus, Oscillibacter, Granulicatella, Anaerotruncus, Dorea, Klebsiella, Lachnospiraceae, Collinsella, Shigella
Appendicitis: Propionibacterium acnes, Alloprevotella, Propionibacterium, Treponema, Capnocytophaga, Peptostreptococcus, Campylobacter, Actinobacteria, Selenomonas, Streptococcus salivarius, Atopobium, Streptococcus anginosus, Moraxella, Veillonella dispar, Aggregatibacter, Ruminococcus gnavus, Peptoniphilus, Gemella, Lactobacillus crispatus, Pseudomonas
Gastro-oesophageal reflux disease: Fusicatenibacter, Sneathia, Mycoplasma, Streptococcus pneumoniae, Haemophilus influenzae, Ureaplasma, Gardnerella, Shuttleworthia, Corynebacterium pseudodiphtheriticum, Capnocytophaga ochracea, Moraxella catarrhalis, Campylobacter concisus, Treponema socranskii, Alphaproteobacteria, Moraxella, Selenomonas, Prevotella nanceiensis, Porphyromonas endodontalis, Streptococcus agalactiae, Selenomonas noxia
Constipation: Megamonas, Collinsella, Neisseria, Rothia, Ruminococcus gnavus, Proteobacteria, Corynebacterium, Porphyromonas, Akkermansia, Oscillibacter, Lachnospira, Phascolarctobacterium, Fusobacterium, Dorea, Alistipes, Klebsiella, Staphylococcus, Campylobacter, Gemella, Atopobium
Disease-free : Moraxella, Selenomonas, Propionibacterium, Firmicutes, Peptostreptococcus, Capnocytophaga, Propionibacterium acnes, Lactobacillus crispatus, Streptococcus anginosus, Treponema, Peptoniphilus, Campylobacter, Staphylococcus epidermidis, Comamonas, Aggregatibacter, Streptococcus salivarius, Veillonella dispar, Streptococcus pneumoniae, Atopobium, Prevotella nanceiensis
Chronic Rhinosinusitis with asthma: Fusicatenibacter, Sneathia, Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma, Capnocytophaga ochracea, Ureaplasma, Moraxella catarrhalis, Treponema socranskii, Gardnerella, Corynebacterium pseudodiphtheriticum, Selenomonas, Campylobacter concisus, Shuttleworthia, Prevotella nanceiensis, Moraxella, Porphyromonas endodontalis, Tanerella forsythia, Gardnerella vaginalis, Streptococcus sanguinis
Chronic Rhinosinusitis with cystic fibrosis: Fusicatenibacter, Sneathia, Streptococcus pneumoniae, Moraxella, Haemophilus influenzae, Firmicutes, Selenomonas, Prevotella nanceiensis, Porphyromonas endodontalis, Parvimonas, Streptococcus parasanguinis, Capnocytophaga ochracea, Mycoplasma, Peptostreptococcus, Propionibacterium, Fusobacterium nucleatum, Capnocytophaga, Streptococcus sanguinis, Gardnerella vaginalis, Staphylococcus aureus
Postmenopausal: Parabacteroides, Clostridium, Roseburia, Enterobacteriaceae, Faecalibacterium, Enterococcus, Alistipes, Ruminococcus, Blautia, Dorea, Akkermansia, Klebsiella, Ruminococcaceae, Anaerostipes, Bifidobacterium, Bacteroides, Corynebacterium, Porphyromonas, Megamonas, Fusobacterium
Aphthous stomatitis: Megamonas, Collinsella, Rothia, Neisseria, Ruminococcus gnavus, Corynebacterium, Akkermansia, Porphyromonas, Proteobacteria, Phascolarctobacterium, Alistipes, Oscillibacter, Dorea, Lachnospira, Klebsiella, Fusobacterium, Clostridium, Subdoligranulum, Anaerostipes, Shigella
Primary sclerosing cholangitis-IBD: Campylobacter, Aggregatibacter, Atopobium, Megamonas, Firmicutes, Moraxella, Proteobacteria, Actinobacteria, Gemella, Neisseria, Ruminococcus gnavus, Collinsella, Oscillibacter, Treponema, Staphylococcus, Alloprevotella, Coprobacillus, Propionibacterium, Acinetobacter, Lachnoclostridium
Oral cancer: Ruminococcus gnavus, Rothia, Lachnospira, Escherichia coli, Alloprevotella, Bilophila, Granulicatella, Eubacterium, Peptostreptococcaceae, Neisseria, Haemophilus, Bacteroides vulgatus, Porphyromonas, Pseudomonas, Akkermansia, Anaerotruncus, Oscillibacter, Collinsella, Staphylococcus, Eubacterium rectale
Psoriatic Arthritis: Faecalibacterium, Parabacteroides, Roseburia, Bifidobacterium, Ruminococcus, Bacteroides, Enterobacteriaceae, Clostridium, Enterococcus, Blautia, Alistipes, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Faecalibacterium prausnitzii, Prevotella, Akkermansia, Streptococcus, Corynebacterium
Chronic lung disease: Sneathia, Fusicatenibacter, Moraxella nonliquefaciens, Corynebacterium pseudodiphtheriticum, Actinomyces urogenitalis, Moraxella catarrhalis, Alicycliphilus, Hydrotalea, Cytomegalovirus, Streptococcus pneumoniae, Streptococcus agalactiae, Muvirus, Alloprevotella tannerae, Porphyromonas uenonis, Lachnospira multipara, Circovirus, Desulfovibrio vietnamensis, Solobacterium moorei, Mucor fuscus, Twortvirus
Cardiovascular disease: Faecalibacterium, Parabacteroides, Roseburia, Bifidobacterium, Bacteroides, Ruminococcus, Enterobacteriaceae, Clostridium, Enterococcus, Blautia, Ruminococcaceae, Alistipes, Dorea, Anaerostipes, Streptococcus, Faecalibacterium prausnitzii, Klebsiella, Prevotella, Akkermansia, Lactobacillus
Clostridium difficile associated disease: Eurotiomycetes, Wallemia mellicola, Ustilaginaceae, Pseudozyma churashimaensis, Penicillium steckii, Penicillium brocae, Aspergillus penicillioides, Penicillium dierckxii, Aspergillus austroafricanus, Eremothecium sinecaudum, Thermomyces lanuginosus, Rhodotorula dairenensis, Human herpesvirus 6, Corynebacterium riegelii, Actinomyces neuii, Corynebacterium coyleae, Arhtrobacter cumminsii, Candidatus Methanomethylophilus alvus, Ramularia collo-cygni, Lactobacillus acetotolerans
Botulism: Megamonas, Campylobacter, Proteobacteria, Aggregatibacter, Actinobacteria, Atopobium, Firmicutes, Collinsella, Moraxella, Ruminococcus gnavus, Neisseria, Gemella, Oscillibacter, Lachnoclostridium, Propionibacterium, Alloprevotella, Coprobacillus, Clostridiales, Staphylococcus, Treponema
Idiopathic Pulmonary Fibrosis: Megamonas, Clostridium, Alistipes, Akkermansia, Dorea, Rothia, Collinsella, Corynebacterium, Porphyromonas, Klebsiella, Fusobacterium, Roseburia, Enterobacteriaceae, Phascolarctobacterium, Blautia, Anaerostipes, Neisseria, Parabacteroides, Subdoligranulum, Enterococcus
Rett Syndrome: Megamonas, Collinsella, Neisseria, Rothia, Corynebacterium, Phascolarctobacterium, Porphyromonas, Proteobacteria, Akkermansia, Ruminococcus gnavus, Alistipes, Fusobacterium, Oscillibacter, Dorea, Klebsiella, Lachnospira, Clostridium, Campylobacter, Anaerostipes, Subdoligranulum
Gingivitis: Megamonas, Collinsella, Corynebacterium, Rothia, Phascolarctobacterium, Neisseria, Akkermansia, Porphyromonas, Alistipes, Dorea, Klebsiella, Fusobacterium, Clostridium, Proteobacteria, Ruminococcus gnavus, Anaerostipes, Blautia, Subdoligranulum, Oscillibacter, Roseburia
Chronic prostatitis / Chronic pelvic pain syndrome: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Prevotella nanceiensis, Moraxella, Streptococcus sanguinis, Porphyromonas endodontalis, Staphylococcus aureus, Gardnerella vaginalis, Treponema socranskii, Capnocytophaga ochracea, Streptococcus parasanguinis, Psychrobacter, Firmicutes, Sneathia, Fusobacterium nucleatum, Peptostreptococcus, Lactobacillus crispatus, Tanerella forsythia, Streptococcus oralis
Kidney stone: Rothia, Ruminococcus gnavus, Collinsella, Neisseria, Akkermansia, Porphyromonas, Lachnospira, Megamonas, Alistipes, Dorea, Oscillibacter, Corynebacterium, Fusobacterium, Klebsiella, Clostridium, Haemophilus, Eubacterium, Phascolarctobacterium, Proteobacteria, Staphylococcus
Eosinophilic esophagitis: Campylobacter, Megamonas, Aggregatibacter, Atopobium, Actinobacteria, Firmicutes, Proteobacteria, Moraxella, Gemella, Ruminococcus gnavus, Neisseria, Propionibacterium, Alloprevotella, Collinsella, Treponema, Oscillibacter, Coprobacillus, Staphylococcus, Lachnoclostridium, Pseudomonas
Chronic kidney disease: Rothia, Ruminococcus gnavus, Akkermansia, Lachnospira, Porphyromonas, Alistipes, Collinsella, Clostridium, Neisseria, Dorea, Eubacterium, Klebsiella, Bilophila, Haemophilus, Oscillibacter, Escherichia coli, Peptostreptococcaceae, Lachnospiraceae, Bacteroides vulgatus, Corynebacterium
Chagas' disease: Moraxella, Firmicutes, Campylobacter, Propionibacterium, Aggregatibacter, Atopobium, Treponema, Actinobacteria, Capnocytophaga, Selenomonas, Peptostreptococcus, Propionibacterium acnes, Alloprevotella, Peptoniphilus, Coprobacillus, Gemella, Proteobacteria, Streptococcus anginosus, Streptococcus salivarius, Clostridiales
periodontitis: Parvimonas micra, Bifidobacterium longum, Veillonella dispar, Streptococcus anginosus, Streptococcus gordonii, Granulicatella adiacens, Lautropia mirabilis, Streptococcus salivarius, Lactobacillus crispatus, Staphylococcus aureus, Streptococcus mitis, Rothia mucilaginosa, Alloprevotella, Bulleidia, Propionibacterium acnes, Bacteriodes uniformis, Streptococcus intermedius, Peptostreptococcus, Comamonas, Burkholderia
Anorexia Nervosa: Megamonas, Collinsella, Rothia, Ruminococcus gnavus, Neisseria, Akkermansia, Porphyromonas, Lachnospira, Oscillibacter, Proteobacteria, Corynebacterium, Phascolarctobacterium, Alistipes, Dorea, Klebsiella, Eubacterium, Fusobacterium, Bilophila, Shigella, Staphylococcus
Kawasaki disease: Megamonas, Collinsella, Rothia, Corynebacterium, Neisseria, Akkermansia, Porphyromonas, Alistipes, Fusobacterium, Dorea, Phascolarctobacterium, Klebsiella, Clostridium, Ruminococcus gnavus, Anaerostipes, Proteobacteria, Blautia, Lachnospira, Subdoligranulum, Oscillibacter
Rhinovirus infection: Fusicatenibacter, Sneathia, Streptococcus pneumoniae, Moraxella, Haemophilus influenzae, Selenomonas, Firmicutes, Prevotella nanceiensis, Porphyromonas endodontalis, Streptococcus parasanguinis, Capnocytophaga ochracea, Propionibacterium, Streptococcus sanguinis, Peptostreptococcus, Fusobacterium nucleatum, Gardnerella vaginalis, Capnocytophaga, Staphylococcus aureus, Parvimonas, Mycoplasma
Non alcoholic steatohepatitis: Moraxella, Firmicutes, Campylobacter, Selenomonas, Aggregatibacter, Propionibacterium, Capnocytophaga, Peptostreptococcus, Atopobium, Actinobacteria, Treponema, Peptoniphilus, Coprobacillus, Streptococcus pneumoniae, Lactobacillus crispatus, Streptococcus anginosus, Proteobacteria, Propionibacterium acnes, Gemella, Prevotella nanceiensis
Pancreatitis: Parabacteroides, Clostridium, Roseburia, Enterobacteriaceae, Ruminococcus, Enterococcus, Alistipes, Faecalibacterium, Blautia, Dorea, Akkermansia, Klebsiella, Anaerostipes, Bifidobacterium, Ruminococcaceae, Fusobacterium, Corynebacterium, Porphyromonas, Bacteroides, Megamonas
Non-alcoholic fatty liver disease: Rothia, Akkermansia, Clostridium, Alistipes, Ruminococcus gnavus, Porphyromonas, Dorea, Lachnospira, Klebsiella, Collinsella, Lachnospiraceae, Neisseria, Eubacterium, Anaerostipes, Bilophila, Peptostreptococcaceae, Haemophilus, Subdoligranulum, Enterobacteriaceae, Enterococcus
Ascites: Megamonas, Roseburia, Clostridium, Alistipes, Enterobacteriaceae, Blautia, Parabacteroides, Dorea, Akkermansia, Corynebacterium, Klebsiella, Anaerostipes, Ruminococcus, Phascolarctobacterium, Collinsella, Porphyromonas, Ruminococcaceae, Enterococcus, Rothia, Subdoligranulum
Opisthorchis felineus infection: Selenomonas, Streptococcus anginosus, Staphylococcus aureus, Streptococcus pneumoniae, Enhydrobacter, Lactobacillus crispatus, Psychrobacter, Streptococcus sanguinis, Rothia aeria, Comamonas, Peptostreptococcus, Streptococcus salivarius, Staphylococcus epidermidis, Streptococcus oralis, Propionibacterium acnes, Haemophilus influenzae, Capnocytophaga, Gardnerella vaginalis, Prevotella nanceiensis, Veillonella dispar
Helicobacter pylori infection: Moraxella, Selenomonas, Firmicutes, Peptostreptococcus, Capnocytophaga, Streptococcus pneumoniae, Propionibacterium, Lactobacillus crispatus, Aggregatibacter, Streptococcus anginosus, Campylobacter, Veillonella dispar, Prevotella nanceiensis, Treponema, Peptoniphilus, Fusobacterium nucleatum, Atopobium, Propionibacterium acnes, Comamonas, Staphylococcus epidermidis
Primary biliary cirrhosis: Rothia, Akkermansia, Collinsella, Alistipes, Porphyromonas, Clostridium, Ruminococcus gnavus, Dorea, Klebsiella, Lachnospira, Neisseria, Corynebacterium, Megamonas, Anaerostipes, Phascolarctobacterium, Oscillibacter, Subdoligranulum, Eubacterium, Bilophila, Shigella
Liver fibrosis: Clostridium, Megamonas, Akkermansia, Alistipes, Dorea, Rothia, Collinsella, Klebsiella, Porphyromonas, Enterobacteriaceae, Corynebacterium, Anaerostipes, Phascolarctobacterium, Roseburia, Blautia, Fusobacterium, Parabacteroides, Neisseria, Subdoligranulum, Enterococcus
Hepatic encephalopathy: Clostridium, Alistipes, Akkermansia, Dorea, Rothia, Klebsiella, Porphyromonas, Enterobacteriaceae, Collinsella, Anaerostipes, Parabacteroides, Enterococcus, Corynebacterium, Ruminococcaceae, Fusobacterium, Lachnospiraceae, Phascolarctobacterium, Roseburia, Subdoligranulum, Megamonas
Alcoholism: Clostridium, Alistipes, Akkermansia, Dorea, Rothia, Klebsiella, Parabacteroides, Porphyromonas, Enterobacteriaceae, Enterococcus, Anaerostipes, Lachnospiraceae, Ruminococcaceae, Roseburia, Fusobacterium, Corynebacterium, Blautia, Collinsella, Faecalibacterium prausnitzii, Subdoligranulum
Gastroenteritis: Megamonas, Alistipes, Corynebacterium, Collinsella, Clostridium, Akkermansia, Roseburia, Dorea, Phascolarctobacterium, Porphyromonas, Blautia, Rothia, Enterobacteriaceae, Klebsiella, Anaerostipes, Fusobacterium, Parabacteroides, Neisseria, Subdoligranulum, Ruminococcus
Primary biliary cholangitis: Parabacteroides, Faecalibacterium, Roseburia, Clostridium, Ruminococcus, Bifidobacterium, Enterococcus, Enterobacteriaceae, Bacteroides, Blautia, Alistipes, Dorea, Ruminococcaceae, Klebsiella, Anaerostipes, Akkermansia, Faecalibacterium prausnitzii, Fusobacterium, Corynebacterium, Porphyromonas
Amyotrophic lateral sclerosis: Clostridium, Parabacteroides, Alistipes, Roseburia, Dorea, Enterobacteriaceae, Akkermansia, Enterococcus, Klebsiella, Blautia, Anaerostipes, Ruminococcus, Porphyromonas, Rothia, Ruminococcaceae, Corynebacterium, Megamonas, Faecalibacterium, Fusobacterium, Collinsella
Hashimoto's thyroiditis: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Selenomonas, Propionibacterium, Capnocytophaga, Atopobium, Actinobacteria, Peptostreptococcus, Treponema, Streptococcus pneumoniae, Coprobacillus, Proteobacteria, Megamonas, Peptoniphilus, Clostridiales, Gemella, Propionibacterium acnes, Streptococcus anginosus
Cirrhosis with pneumonia: Moraxella, Firmicutes, Selenomonas, Streptococcus pneumoniae, Campylobacter, Propionibacterium, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Prevotella nanceiensis, Parvimonas, Atopobium, Haemophilus influenzae, Actinobacteria, Streptococcus parasanguinis, Treponema, Lactobacillus crispatus, Fusobacterium nucleatum, Peptoniphilus, Streptococcus anginosus
Hepatitis C: Rothia, Akkermansia, Clostridium, Alistipes, Dorea, Collinsella, Porphyromonas, Klebsiella, Megamonas, Corynebacterium, Anaerostipes, Neisseria, Fusobacterium, Ruminococcus gnavus, Phascolarctobacterium, Enterobacteriaceae, Lachnospira, Subdoligranulum, Lachnospiraceae, Enterococcus
Functional dyspepsia: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Treponema socranskii, Tanerella forsythia, Moraxella catarrhalis, Prevotella nanceiensis, Campylobacter concisus, Rothia aeria, Streptococcus sanguinis, Capnocytophaga ochracea, Staphylococcus aureus, Gardnerella vaginalis, Porphyromonas endodontalis, Psychrobacter, Gemella haemolysans, Corynebacterium pseudodiphtheriticum, Prevotella bivia, Streptococcus agalactiae, Moraxella
Liver transplant: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Aggregatibacter, Selenomonas, Capnocytophaga, Atopobium, Actinobacteria, Treponema, Propionibacterium acnes, Peptostreptococcus, Coprobacillus, Peptoniphilus, Clostridiales, Alloprevotella, Proteobacteria, Staphylococcus epidermidis, Gemella, Streptococcus anginosus
Schizophrenia: Rothia, Peptostreptococcaceae, Escherichia coli, Bacteroides vulgatus, Ruminococcus gnavus, Bilophila, Lachnospira, Akkermansia, Eubacterium, Clostridium, Alistipes, Porphyromonas, Akkermansia muciniphila, Eubacterium rectale, Haemophilus, Alloprevotella, Actinomyces, Lachnospiraceae, Bacteroides fragilis, Dorea
Atrophic gastritis: Megamonas, Collinsella, Rothia, Neisseria, Corynebacterium, Ruminococcus gnavus, Porphyromonas, Akkermansia, Phascolarctobacterium, Fusobacterium, Proteobacteria, Dorea, Alistipes, Oscillibacter, Klebsiella, Lachnospira, Clostridium, Anaerostipes, Subdoligranulum, Staphylococcus
Cervicitis: Campylobacter, Propionibacterium, Moraxella, Actinobacteria, Aggregatibacter, Firmicutes, Atopobium, Alloprevotella, Treponema, Propionibacterium acnes, Capnocytophaga, Proteobacteria, Gemella, Coprobacillus, Ruminococcus gnavus, Peptostreptococcus, Megamonas, Selenomonas, Peptoniphilus, Clostridiales
Smoking: Ruminococcus gnavus, Alloprevotella, Granulicatella, Lachnospira, Rothia, Escherichia coli, Pseudomonas, Neisseria, Anaerotruncus, Veillonella dispar, Gemella, Bilophila, Oscillibacter, Rothia mucilaginosa, Treponema, Staphylococcus, Eubacterium, Propionibacterium acnes, Collinsella, Bacteroides vulgatus
Pregnancy: Rothia, Akkermansia, Porphyromonas, Ruminococcus gnavus, Collinsella, Alistipes, Clostridium, Lachnospira, Dorea, Neisseria, Klebsiella, Corynebacterium, Eubacterium, Oscillibacter, Bilophila, Haemophilus, Fusobacterium, Anaerostipes, Lachnospiraceae, Phascolarctobacterium
Idiopathic infertility: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Moraxella, Prevotella nanceiensis, Streptococcus sanguinis, Porphyromonas endodontalis, Staphylococcus aureus, Gardnerella vaginalis, Streptococcus parasanguinis, Treponema socranskii, Firmicutes, Capnocytophaga ochracea, Psychrobacter, Fusobacterium nucleatum, Peptostreptococcus, Lactobacillus crispatus, Streptococcus oralis, Capnocytophaga, Streptococcus anginosus
Trichomonas vaginalis infection: Streptococcus pneumoniae, Moraxella, Selenomonas, Haemophilus influenzae, Firmicutes, Prevotella nanceiensis, Peptostreptococcus, Capnocytophaga, Propionibacterium, Lactobacillus crispatus, Fusobacterium nucleatum, Streptococcus parasanguinis, Streptococcus sanguinis, Streptococcus anginosus, Staphylococcus aureus, Porphyromonas endodontalis, Comamonas, Porphyromonas gingivalis, Staphylococcus epidermidis, Streptococcus oralis
Human papilloma virus infection: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Prevotella nanceiensis, Streptococcus sanguinis, Staphylococcus aureus, Treponema socranskii, Tanerella forsythia, Porphyromonas endodontalis, Psychrobacter, Gardnerella vaginalis, Rothia aeria, Moraxella, Capnocytophaga ochracea, Lactobacillus crispatus, Streptococcus oralis, Fusobacterium nucleatum, Streptococcus parasanguinis, Streptococcus anginosus, Peptostreptococcus
Nongonococcal urethritis: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Moraxella, Prevotella nanceiensis, Streptococcus sanguinis, Porphyromonas endodontalis, Staphylococcus aureus, Gardnerella vaginalis, Treponema socranskii, Streptococcus parasanguinis, Capnocytophaga ochracea, Firmicutes, Psychrobacter, Fusobacterium nucleatum, Peptostreptococcus, Sneathia, Lactobacillus crispatus, Streptococcus oralis, Tanerella forsythia
Vulvar vestibulitis syndrome: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Selenomonas, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Treponema, Atopobium, Propionibacterium acnes, Actinobacteria, Peptoniphilus, Coprobacillus, Streptococcus anginosus, Lactobacillus crispatus, Staphylococcus epidermidis, Streptococcus salivarius, Clostridiales, Alloprevotella
