Spirochaetes: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lachnobacterium bovis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lachnospira pectinoschiza: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Megamonas hypermegale: Colorectal Neoplasms, Parkinson Disease, Stomach Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Liver Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella copri: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella oris: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Mouth Neoplasms, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Pseudobutyrivibrio ruminis: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Pseudoflavonifractor capillosus: Colorectal Neoplasms, Parkinson Disease, Stomach Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Gemella morbillorum: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Gemella sanguinis: Colorectal Neoplasms, Parkinson Disease, Stomach Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Neisseria mucosa: Colorectal Neoplasms, Parkinson Disease, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella salivae: Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Colorectal Neoplasms, Alzheimer Disease, Mouth Neoplasms, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella sp. oral clone DO039: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus parasanguinis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus sp. 11aTha1: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Crohn Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus sp. oral clone DP009: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Veillonella sp. oral taxon 158: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Roseburia hominis: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Liver Neoplasms, Breast Neoplasms, Crohn Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Basidiomycota: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Candida albicans: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Candida tropicalis: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Crohn Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Saccharomyces cerevisiae: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Gardnerella vaginalis: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Mouth Neoplasms, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lachnospiraceae: Lung Neoplasms, Parkinson Disease, Stomach Neoplasms, Alzheimer Disease, Liver Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Veillonellaceae: Parkinson Disease, Lung Neoplasms, Colorectal Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Roseburia sp.: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Ruminococcus sp.: Parkinson Disease, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Crohn Disease, Liver Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Bradyrhizobium: Colorectal Neoplasms, Alzheimer Disease, Mouth Neoplasms, Parkinson Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Buttiauxella agrestis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Flavobacterium: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Methylobacterium radiotolerans: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Nitrosomonas: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Novosphingobium aromaticivorans: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Sphingobium yanoikuyae: Colorectal Neoplasms, Alzheimer Disease, Parkinson Disease, Mouth Neoplasms, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus pseudopneumoniae: Parkinson Disease, Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Pseudoflavonifractor: Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Parkinson Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Actinomyces oris: Parkinson Disease, Colorectal Neoplasms, Alzheimer Disease, Mouth Neoplasms, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Atopobium sp.: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Corynebacterium durum: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Gemella sp.: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Mogibacterium sp.: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Porphyromonas endodontalis: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Porphyromonas sp.: Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Parkinson Disease, Breast Neoplasms, Lung Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella nanceiensis: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Rothia mucilaginosa: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Breast Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Selenomonas sp.: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus sanguinis: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus thermophilus: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Methanobacteriales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Methanobrevibacter: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Rothia: Lung Neoplasms, Parkinson Disease, Colorectal Neoplasms, Stomach Neoplasms, Alzheimer Disease, Liver Neoplasms, Mouth Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Acidaminococcaceae: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Bacillaceae: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Burkholderiaceae: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Carnobacteriaceae: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chloroflexi: Parkinson Disease, Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chryseobacterium: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Deinococcus-Thermus: Colorectal Neoplasms, Parkinson Disease, Stomach Neoplasms, Lung Neoplasms, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Liver Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Hyphomicrobiaceae: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Megamonas: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
