Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Neisseria: Rheumatoid Arthritis, Systemic lupus erythematosus, Chronic kidney disease, Chronic Obstructive Pulmonary Disease, Behcet's Disease, Smoking, HIV infection, Cystic Fibrosis, Oral cancer, Cirrhosis, Obesity, Irritable Bowel Syndrome, Type 2 Diabetes, Non-alcoholic fatty liver disease, Asthma, Sj?gren Syndrome, Multiple Sclerosis, Autism spectrum disorders, Type 1 Diabetes, Psoriasis
Gemella: Systemic lupus erythematosus, Chronic Obstructive Pulmonary Disease, Smoking, Rheumatoid Arthritis, Cystic Fibrosis, HIV infection, Obesity, Behcet's Disease, Oral cancer, Sj?gren Syndrome, Chronic kidney disease, Type 2 Diabetes, Cirrhosis, Irritable Bowel Syndrome, Asthma, Psoriasis, Crohn's Disease, Aggressive periodontitis, Non-alcoholic fatty liver disease, Periodontal disease
Corynebacterium: Chronic kidney disease, Rheumatoid Arthritis, Multiple Sclerosis, Systemic lupus erythematosus, Behcet's Disease, Alcoholism, Hepatocellular cancer, Non-alcoholic fatty liver disease, Coronary artery disease, Cirrhosis, Type 1 Diabetes, Primary sclerosing cholangitis, Inflammatory Bowel Disease, Oral cancer, Chronic Obstructive Pulmonary Disease, Infantile eczema, HIV infection, Ankylosing spondylitis, Autism spectrum disorders, Cystic Fibrosis
Granulicatella: Cystic Fibrosis, Chronic Obstructive Pulmonary Disease, HIV infection, Obesity, Systemic lupus erythematosus, Rheumatoid Arthritis, Type 2 Diabetes, Smoking, Cirrhosis, Oral cancer, Irritable Bowel Syndrome, Psoriasis, Asthma, Crohn's Disease, Behcet's Disease, Chronic kidney disease, Colorectal cancer, Sj?gren Syndrome, Parkinson's Disease, Ulcerative Colitis
Pasteurellaceae: Cystic Fibrosis, HIV infection, Obesity, Type 2 Diabetes, Cirrhosis, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Systemic lupus erythematosus, Irritable Bowel Syndrome, Smoking, Crohn's Disease, Oral cancer, Psoriasis, Asthma, Ulcerative Colitis, Chronic kidney disease, Parkinson's Disease, Behcet's Disease, Autism spectrum disorders, Schizophrenia
Micrococcaceae: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Ulcerative Colitis, Caries, Psoriasis, Obesity, Cystic Fibrosis, periodontitis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Carnobacteriaceae: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Cystic Fibrosis, Schizophrenia, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Porphyromonadaceae: Systemic lupus erythematosus, Cystic Fibrosis, Smoking, Chronic Obstructive Pulmonary Disease, HIV infection, Rheumatoid Arthritis, Obesity, Irritable Bowel Syndrome, Type 2 Diabetes, Sj?gren Syndrome, Oral cancer, Behcet's Disease, Cirrhosis, Chronic kidney disease, Psoriasis, Asthma, Aggressive periodontitis, Crohn's Disease, Parkinson's Disease, Ulcerative Colitis
Staphylococcaceae: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Autism, Asthma, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Enterococcaceae: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, periodontitis, Caries, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis
Clostridiales XIV: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Streptococcaceae: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Obesity, Caries, Colorectal cancer, periodontitis, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Rheumatoid Arthritis, Aggressive periodontitis
Fusobacteriaceae: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Ulcerative Colitis, Obesity, Caries, Psoriasis, Cystic Fibrosis, periodontitis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Anaerovorax: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, periodontitis, Caries, Obesity, Colorectal cancer, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis, Oral cancer
Peptococcus: Cystic Fibrosis, Obesity, Type 2 Diabetes, HIV infection, Chronic Obstructive Pulmonary Disease, Cirrhosis, Smoking, Rheumatoid Arthritis, Systemic lupus erythematosus, Irritable Bowel Syndrome, Crohn's Disease, Oral cancer, Psoriasis, Asthma, Parkinson's Disease, Caries, Aggressive periodontitis, Ulcerative Colitis, periodontitis, Colorectal cancer
Catenibacterium: Ulcerative Colitis, Type 2 Diabetes, Cirrhosis, Cystic Fibrosis, Crohn's Disease, HIV infection, Psoriasis, Obesity, Autism, Parkinson's Disease, Irritable Bowel Syndrome, Rheumatoid Arthritis, Asthma, Schizophrenia, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Systemic lupus erythematosus, Oral cancer, Chronic kidney disease, Colorectal cancer
Lactococcus: Chronic Obstructive Pulmonary Disease, Cystic Fibrosis, Smoking, Systemic lupus erythematosus, Obesity, HIV infection, Rheumatoid Arthritis, Type 2 Diabetes, Oral cancer, Irritable Bowel Syndrome, Sj?gren Syndrome, Cirrhosis, Behcet's Disease, Aggressive periodontitis, Psoriasis, Crohn's Disease, Chronic kidney disease, Asthma, Parkinson's Disease, Colorectal cancer
Asteroleplasma: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Lactobacillus fermentum: Type 2 Diabetes, periodontitis, Parkinson's Disease, Caries, Colorectal cancer, Crohn's Disease, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Oral cancer
Shigella flexneri: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Uveitits, Autism spectrum disorders, Aerobic vaginitis, Irritable Bowel Syndrome, Breast cancer
Listeria: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Enterococcus faecium: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, periodontitis, Caries, Colorectal cancer, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Fusobacterium varium: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
TM7: Type 2 Diabetes, periodontitis, Obesity, Cystic Fibrosis, Caries, Colorectal cancer, Crohn's Disease, Parkinson's Disease, HIV infection, Psoriasis, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Cirrhosis, Asthma, Irritable Bowel Syndrome, Ulcerative Colitis, Oral cancer, Smoking, Rheumatoid Arthritis, Schizophrenia
Oxalobacter: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Caries, Colorectal cancer, Obesity, periodontitis, Cystic Fibrosis, Ulcerative Colitis, Psoriasis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Raoultella: Parkinson's Disease, Type 2 Diabetes, Colorectal cancer, Crohn's Disease, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Dehalobacter: Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Fusibacter: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Oxobacter: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Parasporobacterium: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Bacteroides ovatus: Type 2 Diabetes, Obesity, Cystic Fibrosis, Crohn's Disease, HIV infection, Cirrhosis, Parkinson's Disease, Psoriasis, Ulcerative Colitis, Chronic Obstructive Pulmonary Disease, Asthma, Caries, Colorectal cancer, Irritable Bowel Syndrome, Rheumatoid Arthritis, periodontitis, Schizophrenia, Oral cancer, Systemic lupus erythematosus, Autism
Bacteroides plebeius: Obesity, Type 2 Diabetes, Cystic Fibrosis, HIV infection, Cirrhosis, Crohn's Disease, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Irritable Bowel Syndrome, Psoriasis, Systemic lupus erythematosus, Ulcerative Colitis, Parkinson's Disease, Asthma, Oral cancer, Smoking, Caries, Colorectal cancer, Schizophrenia, Autism spectrum disorders
Prevotella oralis: Type 2 Diabetes, periodontitis, Caries, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer, Rheumatoid Arthritis
Prevotella ruminicola: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Uveitits, Autism spectrum disorders, Aerobic vaginitis, Irritable Bowel Syndrome, Breast cancer
Prevotella tannerae: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, periodontitis, Caries, Colorectal cancer, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis
Tannerella: Obesity, Cystic Fibrosis, Type 2 Diabetes, HIV infection, periodontitis, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Caries, Crohn's Disease, Smoking, Parkinson's Disease, Cirrhosis, Irritable Bowel Syndrome, Psoriasis, Colorectal cancer, Systemic lupus erythematosus, Oral cancer, Rheumatoid Arthritis, Asthma, Sj?gren Syndrome
Aneurinibacillus: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Papillibacter: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Uveitits, Cirrhosis, Autism, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Marvinbryantia: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Oral cancer, Aggressive periodontitis
Tyzzerella nexilis: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Obesity, Caries, periodontitis, Ulcerative Colitis, Cystic Fibrosis, Psoriasis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Coprococcus eutactus: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Ulcerative Colitis, Caries, Obesity, periodontitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Autism, Asthma, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Microbacterium: Type 2 Diabetes, Parkinson's Disease, Colorectal cancer, Crohn's Disease, periodontitis, Caries, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Aggressive periodontitis, Oral cancer
Anoxybacillus: Type 2 Diabetes, Colorectal cancer, Parkinson's Disease, Crohn's Disease, periodontitis, Caries, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Campylobacter: Sj?gren Syndrome, Smoking, Systemic lupus erythematosus, Chronic Obstructive Pulmonary Disease, Behcet's Disease, Rheumatoid Arthritis, Oral cancer, Cystic Fibrosis, Chronic kidney disease, HIV infection, Obesity, Irritable Bowel Syndrome, Aggressive periodontitis, Periodontal disease, Halitosis, Type 2 Diabetes, Cirrhosis, Endometriosis, Sicca syndrome, Asthma
Bacteroides finegoldii: Type 2 Diabetes, Colorectal cancer, Crohn's Disease, Parkinson's Disease, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Ruminococcus obeum: Colorectal cancer, Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, periodontitis, Caries, Ulcerative Colitis, Psoriasis, Obesity, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, Autism, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Dorea formicigenerans: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, periodontitis, Caries, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism spectrum disorders, Oral cancer
Lachnobacterium bovis: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Uveitits, Irritable Bowel Syndrome, Aerobic vaginitis, Breast cancer
Pseudobutyrivibrio ruminis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Bacteroides capillosus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Dialister pneumosintes: periodontitis, Colorectal cancer, Caries, Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Obesity, Psoriasis, Cystic Fibrosis, Ulcerative Colitis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Aerobic vaginitis, Irritable Bowel Syndrome, Aggressive periodontitis, Uveitits, Chronic Obstructive Pulmonary Disease
Megamonas hypermegale: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Acidaminobacter: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Cirrhosis, Aerobic vaginitis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Citrobacter farmeri: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Fusobacterium nucleatum: Cystic Fibrosis, Obesity, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, periodontitis, Type 2 Diabetes, Smoking, Caries, HIV infection, Systemic lupus erythematosus, Sj?gren Syndrome, Colorectal cancer, Oral cancer, Crohn's Disease, Irritable Bowel Syndrome, Rheumatoid Arthritis, Periodontal disease, Cirrhosis, Parkinson's Disease, Psoriasis
Epilithonimonas: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease
Flavobacterium: Type 2 Diabetes, Cystic Fibrosis, Obesity, HIV infection, Crohn's Disease, periodontitis, Caries, Chronic Obstructive Pulmonary Disease, Parkinson's Disease, Colorectal cancer, Cirrhosis, Psoriasis, Irritable Bowel Syndrome, Aggressive periodontitis, Asthma, Smoking, Rheumatoid Arthritis, Oral cancer, Systemic lupus erythematosus, Ulcerative Colitis
Pedobacter: Type 2 Diabetes, Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Oral cancer, Rheumatoid Arthritis
Caulobacter: Colorectal cancer, Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Brevundimonas: Type 2 Diabetes, Colorectal cancer, periodontitis, Caries, Parkinson's Disease, Crohn's Disease, Obesity, Cystic Fibrosis, Psoriasis, HIV infection, Cirrhosis, Ulcerative Colitis, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism, Oral cancer, Rheumatoid Arthritis
Sphingomonas: Cystic Fibrosis, Chronic Obstructive Pulmonary Disease, HIV infection, Obesity, Type 2 Diabetes, Systemic lupus erythematosus, Rheumatoid Arthritis, Smoking, Cirrhosis, Oral cancer, Irritable Bowel Syndrome, Crohn's Disease, Psoriasis, Asthma, Behcet's Disease, Chronic kidney disease, Parkinson's Disease, Colorectal cancer, Ulcerative Colitis, Sj?gren Syndrome
Acidovorax: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, Obesity, periodontitis, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Rheumatoid Arthritis, Oral cancer
Janthinobacterium: Parkinson's Disease, Colorectal cancer, Type 2 Diabetes, Crohn's Disease, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Oral cancer, Aggressive periodontitis
Buttiauxella: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Azoospermia, Irritable Bowel Syndrome
Rahnella: Colorectal cancer, periodontitis, Caries, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Breast cancer
Acinetobacter: Systemic lupus erythematosus, Behcet's Disease, Smoking, Chronic kidney disease, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Sj?gren Syndrome, Oral cancer, HIV infection, Primary sclerosing cholangitis, Cystic Fibrosis, Non-alcoholic fatty liver disease, Multiple Sclerosis, Endometriosis, Cirrhosis, Alcoholism, Irritable Bowel Syndrome, Sicca syndrome, Short Bowel Syndrome, Hepatocellular cancer
Psychrobacter: Obesity, Type 2 Diabetes, Cystic Fibrosis, periodontitis, Caries, Aggressive periodontitis, HIV infection, Chronic Obstructive Pulmonary Disease, Colorectal cancer, Crohn's Disease, Parkinson's Disease, Psoriasis, Smoking, Cirrhosis, Irritable Bowel Syndrome, Asthma, Oral cancer, Systemic lupus erythematosus, Rheumatoid Arthritis, Periodontal disease
Pseudomonas: Cystic Fibrosis, Chronic Obstructive Pulmonary Disease, Systemic lupus erythematosus, Smoking, HIV infection, Rheumatoid Arthritis, Obesity, Oral cancer, Type 2 Diabetes, Cirrhosis, Irritable Bowel Syndrome, Psoriasis, Asthma, Behcet's Disease, Crohn's Disease, Chronic kidney disease, Sj?gren Syndrome, Colorectal cancer, Caries, Parkinson's Disease
Stenotrophomonas: Cystic Fibrosis, Type 2 Diabetes, Obesity, HIV infection, Chronic Obstructive Pulmonary Disease, Crohn's Disease, Cirrhosis, Caries, periodontitis, Parkinson's Disease, Psoriasis, Colorectal cancer, Irritable Bowel Syndrome, Asthma, Rheumatoid Arthritis, Smoking, Aggressive periodontitis, Oral cancer, Systemic lupus erythematosus, Ulcerative Colitis
Atopobium: Smoking, Systemic lupus erythematosus, Sj?gren Syndrome, Chronic Obstructive Pulmonary Disease, Behcet's Disease, Rheumatoid Arthritis, Cystic Fibrosis, Oral cancer, HIV infection, Chronic kidney disease, Obesity, Irritable Bowel Syndrome, Type 2 Diabetes, Cirrhosis, Aggressive periodontitis, Periodontal disease, Asthma, Halitosis, Psoriasis, Endometriosis
Aquabacterium: Type 2 Diabetes, Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Cloacibacterium: Type 2 Diabetes, periodontitis, Caries, Colorectal cancer, Parkinson's Disease, Crohn's Disease, Obesity, Cystic Fibrosis, Psoriasis, HIV infection, Cirrhosis, Ulcerative Colitis, Asthma, Schizophrenia, Irritable Bowel Syndrome, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Autism, Oral cancer, Rheumatoid Arthritis
Ochrobactrum: Type 2 Diabetes, Parkinson's Disease, periodontitis, Crohn's Disease, Colorectal cancer, Caries, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
