Collinsella aerofaciens: Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Bacterial Vaginosis, Colon cancer, Liver cirrhosis, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, New-onset untreated rheumatoid arthrits, Skin and mucosal infections, COPD, Inflammatory bowel disease(IBD), Whipple's disease
Faecalibacterium prausnitzii: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), COPD, Psoriasis, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Enterobacter aerogenes: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Irritable bowel syndrome(IBS), COPD, Clostridium difficile infection(CDI), Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Obesity, Liver cirrhosis, Ulcerative colitis, Bacterial Vaginosis, Type 1 diabetes, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Enterobacter hormaechei: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Irritable bowel syndrome(IBS), COPD, Clostridium difficile infection(CDI), Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Obesity, Liver cirrhosis, Ulcerative colitis, Bacterial Vaginosis, Type 1 diabetes, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Enterococcus: Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Asthma, Psoriasis, Clostridium difficile infection(CDI), Type 2 diabetes, Irritable bowel syndrome(IBS), COPD, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Type 1 diabetes, Bacterial Vaginosis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Gammaproteobacteria: Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Liver cirrhosis, Clostridium difficile infection(CDI), Type 1 diabetes, Asthma, Crohn's disease(CD), COPD, Psoriasis, Obesity, Type 2 diabetes, Ileal Crohn's disease(CD), Ulcerative colitis, Colorectal carcinoma, Periodontal, Inflammatory bowel disease(IBD), Bacterial Vaginosis, Systemic inflammatory response syndrome, Cystic fibrosis, Colon cancer
Klebsiella pneumoniae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Irritable bowel syndrome(IBS), COPD, Clostridium difficile infection(CDI), Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Obesity, Liver cirrhosis, Ulcerative colitis, Bacterial Vaginosis, Type 1 diabetes, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Shigella dysenteriae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Irritable bowel syndrome(IBS), COPD, Clostridium difficile infection(CDI), Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Obesity, Liver cirrhosis, Ulcerative colitis, Bacterial Vaginosis, Type 1 diabetes, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Staphylococcus: Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Asthma, Psoriasis, Clostridium difficile infection(CDI), Type 2 diabetes, COPD, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Citrobacter: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Psoriasis, Asthma, Type 2 diabetes, Periodontal, COPD, Ileal Crohn's disease(CD), Colorectal carcinoma, Irritable bowel syndrome(IBS), Obesity, Inflammatory bowel disease(IBD), Bacterial Vaginosis, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Klebsiella: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Psoriasis, Asthma, Irritable bowel syndrome(IBS), COPD, Periodontal, Ileal Crohn's disease(CD), Colorectal carcinoma, Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Bacterial Vaginosis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Haemophilus: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Asthma, COPD, Bacterial Vaginosis, Psoriasis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Bacilli: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), COPD, Psoriasis, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Irritable bowel syndrome(IBS), Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Bacteroidaceae: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, COPD, Asthma, Psoriasis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Cystic fibrosis, Rheumatoid arthrits
Bacteroides sp. CJ78: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Bacteroides thetaiotaomicron: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Eubacteriaceae: Type 1 diabetes, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Cystic fibrosis, Colon cancer, Periodontal, Ileal Crohn's disease(CD), Obesity, Asthma, COPD, Crohn's disease(CD), Type 2 diabetes, Inflammatory bowel disease(IBD), Colorectal carcinoma, Ulcerative colitis, Systemic inflammatory response syndrome, Psoriasis
Eubacterium eligens: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), COPD, Psoriasis, Asthma, Irritable bowel syndrome(IBS), Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Eubacterium rectale: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), COPD, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Faecalibacterium: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), COPD, Psoriasis, Asthma, Irritable bowel syndrome(IBS), Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Human intestinal firmicute CB47: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Human intestinal firmicute CO19: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Porphyromonadaceae: Type 1 diabetes, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Asthma, COPD, Psoriasis, Periodontal, Ileal Crohn's disease(CD), Colorectal carcinoma, Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Cystic fibrosis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Rikenellaceae: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Irritable bowel syndrome(IBS), Periodontal, Ileal Crohn's disease(CD), Psoriasis, Asthma, Colorectal carcinoma, COPD, Bacterial Vaginosis, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis
Ruminococcaceae: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 2 diabetes, Irritable bowel syndrome(IBS), Periodontal, Ileal Crohn's disease(CD), Psoriasis, Asthma, Colorectal carcinoma, COPD, Bacterial Vaginosis, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis
Enterococcus faecium: Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Psoriasis, Asthma, Bacterial Vaginosis, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Type 1 diabetes, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Irritable bowel syndrome(IBS), Cystic fibrosis
Aerococcus: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Gardnerella: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Lactobacillus iners: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Mobiluncus: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Papillibacter: Bacterial Vaginosis, Cystic fibrosis, Type 1 diabetes, Liver cirrhosis, Type 2 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Asthma, Psoriasis, Skin and mucosal infections, Atopic dermatitis, Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Ileal Crohn's disease(CD), Rheumatoid arthrits
Comamonadaceae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, COPD, Type 2 diabetes, Clostridium difficile infection(CDI), Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Ulcerative colitis, Liver cirrhosis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis, Type 1 diabetes
Oxalobacteraceae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, COPD, Type 2 diabetes, Clostridium difficile infection(CDI), Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Ulcerative colitis, Liver cirrhosis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis, Type 1 diabetes
Sphingomonadaceae: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, COPD, Type 2 diabetes, Clostridium difficile infection(CDI), Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Ulcerative colitis, Liver cirrhosis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis, Type 1 diabetes
Pseudomonas: Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, COPD, Asthma, Psoriasis, Clostridium difficile infection(CDI), Colorectal carcinoma, Obesity, Ileal Crohn's disease(CD), Periodontal, Ulcerative colitis, Inflammatory bowel disease(IBD), Cystic fibrosis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Oxalobacter formigenes: Type 1 diabetes, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Asthma, Obesity, Psoriasis, Crohn's disease(CD), Periodontal, COPD, Bacterial Vaginosis, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Colorectal carcinoma, Ulcerative colitis, Type 2 diabetes, Inflammatory bowel disease(IBD), Cystic fibrosis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Skin and mucosal infections
Tropheryma whipplei: Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Obesity, Asthma, Psoriasis, Crohn's disease(CD), Periodontal, Ulcerative colitis, Colon cancer, COPD, Systemic inflammatory response syndrome, Skin and mucosal infections, Ileal Crohn's disease(CD), Colorectal carcinoma, Clostridium difficile infection(CDI), Inflammatory bowel disease(IBD), Whipple's disease, Kidney stones, New-onset untreated rheumatoid arthrits, Rheumatoid arthrits
Enterococcus faecalis: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Infectious colitis, Colorectal carcinoma, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Fusobacteriaceae: Liver cirrhosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Type 1 diabetes, Clostridium difficile infection(CDI), Bacterial Vaginosis, COPD, Psoriasis, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Lachnospira: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Infectious colitis, Colorectal carcinoma, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Pasteurellaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Cystic fibrosis, COPD, Obesity, Asthma, Inflammatory bowel disease(IBD), Colon cancer, Systemic inflammatory response syndrome, Periodontal, Constipation Irritable bowel syndrome(IBS), Ulcerative colitis, Psoriasis, Infectious colitis
Streptococcaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Cystic fibrosis, COPD, Obesity, Asthma, Inflammatory bowel disease(IBD), Colon cancer, Systemic inflammatory response syndrome, Periodontal, Constipation Irritable bowel syndrome(IBS), Ulcerative colitis, Psoriasis, Infectious colitis
Veillonellaceae: Liver cirrhosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Clostridium difficile infection(CDI), Type 1 diabetes, Bacterial Vaginosis, COPD, Psoriasis, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Acidobacteriaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Aeromonadaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Alteromonadaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Anaerovorax: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Bacillaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Cellulomonadaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Clostridiaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Desulfobacteraceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Desulfovibrionaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Dorea: Liver cirrhosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Cystic fibrosis, COPD, Obesity, Asthma, Inflammatory bowel disease(IBD), Colon cancer, Systemic inflammatory response syndrome, Periodontal, Constipation Irritable bowel syndrome(IBS), Ulcerative colitis, Psoriasis, Infectious colitis
Eubacterium: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), COPD, Periodontal, Asthma, Ileal Crohn's disease(CD), Colorectal carcinoma, Psoriasis, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Cystic fibrosis, Systemic inflammatory response syndrome, Constipation Irritable bowel syndrome(IBS)
Haemophilus parainfluenzae: Liver cirrhosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Cystic fibrosis, COPD, Obesity, Asthma, Inflammatory bowel disease(IBD), Colon cancer, Systemic inflammatory response syndrome, Periodontal, Constipation Irritable bowel syndrome(IBS), Ulcerative colitis, Psoriasis, Infectious colitis
Nitrospiraceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Paenibacillaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Cystic fibrosis, Bacterial Vaginosis, Colon cancer, Clostridium difficile infection(CDI), Obesity, Asthma, Systemic inflammatory response syndrome, COPD, Ulcerative colitis, Constipation Irritable bowel syndrome(IBS), Inflammatory bowel disease(IBD), Infectious colitis, Atopic dermatitis, Crohn's disease(CD), Type 2 diabetes, Skin and mucosal infections
Peptostreptococcaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Polyangiaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Promicromonosporaceae: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Ruminococcus: Liver cirrhosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Cystic fibrosis, COPD, Obesity, Asthma, Inflammatory bowel disease(IBD), Colon cancer, Systemic inflammatory response syndrome, Periodontal, Constipation Irritable bowel syndrome(IBS), Ulcerative colitis, Psoriasis, Infectious colitis
